Physical Address Suburb,Latitude,Longitude,2017-18 Australian Government Funding
HARVEY,-33.08362728,115.8928571," $2,271,225 "
BENTLEY,-32.00182678,115.8990348," $6,943,472 "
PINJARRA,-32.63911,115.87268," $2,176,626 "
CRAIGIE,-31.78492,115.75807," $1,045,022 "
LESMURDIE,-31.99301,116.05443," $2,408,659 "
ARMADALE,-32.15862143,116.0146968," $5,299,670 "
MANJIMUP,-34.24173508,116.1353162," $2,067,504 "
BROADWATER,-33.65821282,115.2692108," $7,260,995 "
HIGHGATE,-31.9431165,115.8713247," $3,393,095 "
SPENCER PARK,-35.00975,117.90207," $1,819,908 "
EMU POINT,-34.998,117.93948," $3,969,779 "
NORTH PERTH,-31.93098353,115.8580359," $1,719,929 "
HELENA VALLEY,-31.91742,116.04513," $371,770 "
MANDURAH,-32.54103,115.74273," $6,369,910 "
BULL CREEK,-32.04799739,115.8560915," $4,046,089 "
WILLAGEE,-32.051186,115.814931," $3,229,345 "
KOJONUP,-33.82852,117.15319," $1,344,336 "
OSBORNE PARK,-31.89782,115.82497," $4,349,838 "
KARRINYUP,-31.88158472,115.7674276," $3,282,787 "
LESMURDIE,-31.99929,116.04778," $2,383,526 "
SHELLEY,-32.03953755,115.8744593," $2,389,154 "
MARANGAROO,-31.830433,115.822859," $8,440,769 "
KALGOORLIE,-30.74117384,121.4751116," $1,747,347 "
COLLIE,-33.35008406,116.1656231," $3,572,312 "
WEST LEEDERVILLE,-31.936211,115.829042," $2,642,972 "
GOSNELLS,-32.075629,115.995727," $6,929,373 "
LEEDERVILLE,-31.92698,115.83968," $4,119,597 "
DIANELLA,-31.900877,115.864657," $3,414,245 "
BUNBURY,-33.33509515,115.629873," $4,252,371 "
KATANNING,-33.68652592,117.5622897," $1,459,707 "
MENORA,-31.91865729,115.8651012," $2,834,328 "
MOUNT LAWLEY,-31.93431014,115.8863829," $3,228,082 "
NORTH FREMANTLE,-32.03377,115.75635," $5,033,789 "
KELLERBERRIN,-31.63272595,117.7137601," $2,950,051 "
CANNING VALE,-32.06677611,115.9349975," $4,271,747 "
BELMONT,-31.94608,115.9231," $2,623,571 "
JOONDANNA,-31.90904149,115.8415481," $1,948,022 "
EAST PERTH,-31.95851344,115.8751996," $2,505,823 "
CAMILLO,-32.11820203,116.0003474," $2,485,776 "
BAYSWATER,-31.92425063,115.9224303," $1,947,250 "
WAGIN,-33.30382883,117.3461753," $884,665 "
COTTESLOE,-32.00935759,115.7529933," $4,725,859 "
BULL CREEK,-32.054438,115.871049," $2,702,948 "
DONNYBROOK,-33.57758892,115.815516," $2,173,773 "
