,LGA,2017-18 Australian Government Funding,Age Care Service Companies,Average Funding
0,ALBANY,4433072.08,4,1108268.02
1,APPLECROSS,9501787.07,2,4750893.535
2,ARDROSS,512311.39,1,512311.39
3,ARMADALE,13775523.85,5,2755104.77
4,ASCOT,3097940.2300000004,5,619588.0460000001
5,ASHFIELD,626887.77,1,626887.77
6,AUBIN GROVE,5351887.16,1,5351887.16
7,AUGUSTA,1277671.55,1,1277671.55
8,BALCATTA,12575186.5,3,4191728.8333333335
9,BASSENDEAN,5050223.49,1,5050223.49
10,BATEMAN,4961994.65,1,4961994.65
11,BAYSWATER,24357273.54,6,4059545.59
12,BEACHLANDS,1526932.21,2,763466.105
13,BEDFORD,739006.53,1,739006.53
14,BELMONT,2623571.48,1,2623571.48
15,BENTLEY,49649459.94,12,4137454.9949999996
16,BERESFORD,398036.82,1,398036.82
17,BEVERLEY,754006.05,1,754006.05
18,BICTON,7646509.869999999,3,2548836.623333333
19,BLUFF POINT,7835676.11,1,7835676.11
20,BOORAGOON,5211578.02,1,5211578.02
21,BOULDER,693251.95,1,693251.95
22,BOYUP BROOK,707800.7,1,707800.7
23,BRIDGETOWN,990619.16,1,990619.16
24,BROADWATER,25025093.27,6,4170848.8783333334
25,BROOKTON,2985205.7,1,2985205.7
26,BROOME,6385164.58,6,1064194.0966666667
27,BRUCE ROCK,666675.28,1,666675.28
28,BULL CREEK,15439847.5,5,3087969.5
29,BUNBURY,16950860.23,9,1883428.9144444445
30,BURSWOOD,468582.4,2,234291.2
31,BUSSELTON,2495448.1399999997,3,831816.0466666665
32,BYFORD,4911882.99,1,4911882.99
33,CALISTA,8076441.36,1,8076441.36
34,CAMILLO,2485776.26,1,2485776.26
35,CANNING VALE,4271747.11,1,4271747.11
36,CAREY PARK,10591564.879999999,4,2647891.2199999997
37,CARLISLE,13397576.120000001,2,6698788.0600000005
38,CARMEL,4601524.22,1,4601524.22
39,CARNARVON,885979.1,1,885979.1
40,CITY BEACH,160846.26,1,160846.26
41,CLAREMONT,9134814.55,3,3044938.1833333336
42,COLLIE,3572312.32,1,3572312.32
43,COMO,20834952.319999997,5,4166990.463999999
44,COODANUP,3362038.81,1,3362038.81
45,COOLBELLUP,2418961.58,1,2418961.58
46,COOLOONGUP,5905843.75,2,2952921.875
47,CORRIGIN,644531.6,1,644531.6
48,COTTESLOE,4731262.55,2,2365631.275
49,CRAIGIE,1045022.16,1,1045022.16
50,CURRAMBINE,7902176.11,1,7902176.11
51,DALWALLINU,794882.4,1,794882.4
52,DENMARK,1730023.35,1,1730023.35
53,DERBY,2930411.82,2,1465205.91
54,DIANELLA,12768870.42,5,2553774.084
55,DONNYBROOK,2173773.16,1,2173773.16
56,DUDLEY PARK,17624892.11,3,5874964.036666666
57,DUMBLEYUNG,327423.25,1,327423.25
58,DUNCRAIG,6991949.119999999,3,2330649.7066666665
59,EAST FREMANTLE,5979666.359999999,2,2989833.1799999997
60,EAST PERTH,5817250.75,3,1939083.5833333333
61,EAST VICTORIA PARK,1477172.6800000002,2,738586.3400000001
62,EATON,9661738.54,1,9661738.54
63,EDGEWATER,2058199.34,1,2058199.34
64,ELLENBROOK,12825724.09,2,6412862.045
65,EMBLETON,10620483.92,2,5310241.96
66,EMU POINT,3969779.07,1,3969779.07
67,ESPERANCE,5218878.100000001,3,1739626.0333333334
68,EXMOUTH,391086.55,1,391086.55
69,FERNDALE,8496436.63,1,8496436.63
