,LGA,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,Over 65 total per LGA
0,Albany ,541.0,504.0,463.0,415.0,461.0,351.0,347.0,345.0,364.0,362.0,263.0,290.0,290.0,281.0,248.0,222.0,238.0,175.0,194.0,163.0,171.0,150.0,131.0,108.0,110.0,84.0,64.0,64.0,43.0,39.0,25.0,23.0,9.0,9.0,9.0,0.0,3.0,0.0,0.0,4.0,7563.0
1,Armadale ,696.0,665.0,654.0,672.0,676.0,526.0,472.0,429.0,414.0,364.0,369.0,330.0,319.0,301.0,262.0,237.0,242.0,186.0,159.0,162.0,175.0,134.0,134.0,92.0,104.0,61.0,48.0,58.0,24.0,29.0,28.0,16.0,9.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,9061.0
2,Ashburton ,49.0,43.0,24.0,15.0,25.0,11.0,12.0,9.0,0.0,3.0,10.0,0.0,0.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0
3,Augusta-Margaret River ,184.0,156.0,154.0,112.0,147.0,98.0,116.0,109.0,85.0,96.0,71.0,79.0,77.0,61.0,61.0,61.0,49.0,38.0,38.0,42.0,31.0,36.0,26.0,26.0,27.0,13.0,18.0,11.0,12.0,8.0,8.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.0
4,Bassendean ,171.0,145.0,139.0,136.0,157.0,141.0,103.0,106.0,86.0,98.0,97.0,97.0,82.0,94.0,55.0,77.0,60.0,83.0,62.0,59.0,44.0,37.0,42.0,55.0,40.0,29.0,15.0,17.0,12.0,15.0,10.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2380.0
5,Bayswater ,624.0,613.0,611.0,614.0,633.0,518.0,500.0,488.0,383.0,396.0,393.0,382.0,377.0,361.0,309.0,328.0,279.0,260.0,250.0,222.0,193.0,203.0,196.0,169.0,133.0,132.0,113.0,109.0,68.0,59.0,25.0,32.0,18.0,20.0,14.0,9.0,0.0,0.0,0.0,0.0,10034.0
6,Belmont ,319.0,290.0,331.0,309.0,306.0,278.0,230.0,228.0,218.0,210.0,248.0,210.0,183.0,214.0,180.0,179.0,173.0,170.0,160.0,106.0,134.0,127.0,96.0,91.0,80.0,75.0,44.0,49.0,33.0,31.0,13.0,21.0,8.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,5358.0
7,Beverley ,34.0,30.0,31.0,31.0,44.0,25.0,23.0,28.0,31.0,25.0,22.0,12.0,15.0,24.0,21.0,11.0,11.0,6.0,16.0,7.0,5.0,4.0,8.0,0.0,4.0,0.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0
8,Boddington ,14.0,20.0,23.0,18.0,21.0,14.0,12.0,9.0,20.0,11.0,17.0,14.0,5.0,3.0,4.0,11.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0
